ΗΜΕΡΟΜΗΝΙΑ ΥΠΟΒΟΛΗΣ ΑΙΤΗΣΗΣ,AΡΙΘΜΟΣ ΜΗΤΡΩΟΥ ΑΔΕΙΩΝ,ΗΜΕΡΟΜΗΝΙΑ ΕΚΔ. ΑΔ.ΠΑΡΑΓΩΓΗΣ,ΗΜΕΡΟΜΗΝΙΑ ΛΗΞΗΣ ΑΔ.ΠΑΡΑΓΩΓΗΣ,ΠΕΡΙΦΕΡΕΙΑ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ,ΔΗΜΟΣ,ΜΕΓΙΣΤΗ ΙΣΧΥΣ (MW),ΤΕΧΝΟΛΟΓΙΑ,ΜΗΝΑΣ ΕΚΔ. ΑΔ.ΠΑΡΑΓΩΓΗΣ,ΕΒΔΟΜΑΔΑ ΕΚΔ. ΑΔ.ΠΑΡΑΓΩΓΗΣ,ΔΙΑΣΤΗΜΑ ΕΓΚΡΙΣΗΣ ΣΕ ΜΗΝΕΣ,ΔΙΑΣΤΗΜΑ ΕΓΚΡΙΣΗΣ ΣΕ ΕΒΔΟΜΑΔΕΣ,ΔΙΑΡΚΕΙΑ ΑΔΕΙΑΣ ΣΕ ΜΗΝΕΣ,ΔΙΑΡΚΕΙΑ ΑΔΕΙΑΣ ΣΕ ΕΒΔΟΜΑΔΕΣ
2001-02-08 00:00:00,ΑΔ-00030,2001-06-18 00:00:00,2041-04-26 00:00:00,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΣΑΜΟΥ,ΣΑΜΟΥ,1.0,ΑΙΟΛΙΚΑ ,2001-06,2001-25,4,18,478,2079
2001-02-06 00:00:00,ΑΔ-00029,2001-06-18 00:00:00,2026-06-18 00:00:00,ΘΕΣΣΑΛΙΑΣ,ΜΑΓΝΗΣΙΑΣ,ΒΟΛΟΥ,0.75,ΜΥΗΕ,2001-06,2001-25,4,18,299,1304
2001-02-19 00:00:00,ΑΔ-00028,2001-06-18 00:00:00,2041-05-19 00:00:00,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΚΥΚΛΑΔΩΝ,ΜΥΚΟΝΟΥ,0.3,ΑΙΟΛΙΚΑ ,2001-06,2001-25,3,17,479,2082
2001-02-08 00:00:00,ΑΔ-00027,2001-06-18 00:00:00,2026-06-18 00:00:00,ΔΥΤΙΚΗΣ ΕΛΛΑΔΟΣ,ΑΧΑΙΑΣ,ΚΑΛΑΒΡΥΤΩΝ,1.3,ΜΥΗΕ,2001-06,2001-25,4,18,299,1304
2001-02-19 00:00:00,ΑΔ-00025,2001-06-18 00:00:00,2026-06-18 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΕΥΒΟΙΑΣ,ΚΥΜΗΣ-ΑΛΙΒΕΡΙΟΥ,11.22,ΑΙΟΛΙΚΑ ,2001-06,2001-25,3,17,299,1304
2001-02-12 00:00:00,ΑΔ-00024,2001-06-18 00:00:00,2026-06-18 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΕΥΒΟΙΑΣ,ΚΑΡΥΣΤΟΥ,12.0,ΑΙΟΛΙΚΑ ,2001-06,2001-25,4,18,299,1304
2001-02-19 00:00:00,ΑΔ-00023,2001-06-18 00:00:00,2026-06-18 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΕΥΡΥΤΑΝΙΑΣ,ΑΓΡΑΦΩΝ,3.0,ΜΥΗΕ,2001-06,2001-25,3,17,299,1304
2001-02-19 00:00:00,ΑΔ-00041,2001-06-18 00:00:00,2040-05-28 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΕΥΒΟΙΑΣ,ΚΑΡΥΣΤΟΥ,7.4,ΑΙΟΛΙΚΑ ,2001-06,2001-25,3,17,467,2032
2001-02-08 00:00:00,ΑΔ-00022,2001-06-18 00:00:00,2041-03-22 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΕΥΒΟΙΑΣ,ΚΑΡΥΣΤΟΥ,5.0,ΑΙΟΛΙΚΑ ,2001-06,2001-25,4,18,477,2074
2001-02-19 00:00:00,ΑΔ-00043,2001-06-18 00:00:00,2041-04-26 00:00:00,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΣΑΜΟΥ,ΣΑΜΟΥ,0.75,ΑΙΟΛΙΚΑ ,2001-06,2001-25,3,17,478,2079
2001-01-23 00:00:00,ΑΔ-00055,2001-06-18 00:00:00,2026-06-18 00:00:00,ΠΕΛΟΠΟΝΝΗΣΟΥ,ΛΑΚΩΝΙΑΣ,ΣΠΑΡΤΗΣ - ΑΝΑΤΟΛΙΚΗΣ ΜΑΝΗΣ,1.0,ΜΥΗΕ,2001-06,2001-25,4,20,299,1304
2001-02-19 00:00:00,ΑΔ-00061,2001-06-18 00:00:00,2026-06-18 00:00:00,ΘΕΣΣΑΛΙΑΣ,ΛΑΡΙΣΑΣ,ΤΕΜΠΩΝ,0.995,ΜΥΗΕ,2001-06,2001-25,3,17,299,1304
2001-02-08 00:00:00,ΑΔ-00059,2001-06-18 00:00:00,2026-06-18 00:00:00,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΣΕΡΡΩΝ,ΣΙΝΤΙΚΗΣ,0.5,ΜΥΗΕ,2001-06,2001-25,4,18,299,1304
2001-02-13 00:00:00,ΑΔ-00056,2001-06-18 00:00:00,2026-06-18 00:00:00,ΗΠΕΙΡΟΥ,ΙΩΑΝΝΙΝΩΝ,ΙΩΑΝΝΙΤΩΝ,0.7,ΜΥΗΕ,2001-06,2001-25,4,17,299,1304
2001-02-08 00:00:00,ΑΔ-00054,2001-06-18 00:00:00,2026-06-18 00:00:00,ΔΥΤΙΚΗΣ ΕΛΛΑΔΟΣ,ΑΧΑΙΑΣ,ΑΙΓΙΑΛΕΙΑΣ,2.724,ΜΥΗΕ,2001-06,2001-25,4,18,299,1304
2001-02-08 00:00:00,ΑΔ-00062,2001-06-18 00:00:00,2026-06-18 00:00:00,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΣΕΡΡΩΝ,ΣΕΡΡΩΝ,1.5,ΜΥΗΕ,2001-06,2001-25,4,18,299,1304
2001-02-02 00:00:00,ΑΔ-00052,2001-06-18 00:00:00,2026-06-18 00:00:00,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΣΕΡΡΩΝ,ΣΙΝΤΙΚΗΣ,5.0,ΜΥΗΕ,2001-06,2001-25,4,19,299,1304
2001-02-08 00:00:00,ΑΔ-00051,2001-06-18 00:00:00,2026-06-18 00:00:00,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΠΕΛΛΑΣ,ΑΛΜΩΠΙΑΣ,0.35,ΜΥΗΕ,2001-06,2001-25,4,18,299,1304
2001-02-07 00:00:00,ΑΔ-00053,2001-06-18 00:00:00,2041-06-15 00:00:00,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΣΗΤΕΙΑΣ,9.9,ΑΙΟΛΙΚΑ ,2001-06,2001-25,4,18,479,2086
2001-02-07 00:00:00,ΑΔ-00049,2001-06-18 00:00:00,2041-06-03 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΕΥΒΟΙΑΣ,ΚΑΡΥΣΤΟΥ,1.8,ΑΙΟΛΙΚΑ ,2001-06,2001-25,4,18,479,2085
2001-02-07 00:00:00,ΑΔ-00048,2001-06-18 00:00:00,2026-06-17 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΕΥΒΟΙΑΣ,ΚΑΡΥΣΤΟΥ,1.8,ΑΙΟΛΙΚΑ ,2001-06,2001-25,4,18,299,1304
2001-02-19 00:00:00,ΑΔ-00047,2001-06-18 00:00:00,2041-04-26 00:00:00,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΣΑΜΟΥ,ΣΑΜΟΥ,1.2,ΑΙΟΛΙΚΑ ,2001-06,2001-25,3,17,478,2079
2001-02-08 00:00:00,ΑΔ-00046,2001-06-18 00:00:00,2026-06-18 00:00:00,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΚΥΚΛΑΔΩΝ,ΤΗΝΟΥ,0.4,ΑΙΟΛΙΚΑ ,2001-06,2001-25,4,18,299,1304
2001-02-19 00:00:00,ΑΔ-00045,2001-06-18 00:00:00,2026-06-18 00:00:00,ΠΕΛΟΠΟΝΝΗΣΟΥ,ΑΡΚΑΔΙΑΣ,ΤΡΙΠΟΛΗΣ,16.2,ΑΙΟΛΙΚΑ ,2001-06,2001-25,3,17,299,1304
2001-02-19 00:00:00,ΑΔ-00044,2001-06-18 00:00:00,2026-06-18 00:00:00,ΠΕΛΟΠΟΝΝΗΣΟΥ,ΑΡΚΑΔΙΑΣ,ΤΡΙΠΟΛΗΣ,43.7,ΑΙΟΛΙΚΑ ,2001-06,2001-25,3,17,299,1304
2001-02-08 00:00:00,ΑΔ-00050,2001-06-18 00:00:00,2026-06-18 00:00:00,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΠΕΛΛΑΣ,ΑΛΜΩΠΙΑΣ,0.56,ΜΥΗΕ,2001-06,2001-25,4,18,299,1304
2001-02-07 00:00:00,ΑΔ-00057,2001-06-19 00:00:00,2026-06-19 00:00:00,ΗΠΕΙΡΟΥ,ΙΩΑΝΝΙΝΩΝ,ΜΕΤΣΟΒΟΥ,0.93,ΜΥΗΕ,2001-06,2001-25,4,18,299,1304
2001-02-19 00:00:00,ΑΔ-00058,2001-06-19 00:00:00,2026-06-19 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΒΟΙΩΤΙΑΣ,ΘΗΒΑΙΩΝ,0.65,ΜΥΗΕ,2001-06,2001-25,3,17,299,1304
2001-02-19 00:00:00,ΑΔ-00060,2001-06-19 00:00:00,2026-06-19 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΒΟΙΩΤΙΑΣ,ΔΙΣΤΟΜΟΥ - ΑΡΑΧΟΒΑΣ - ΑΝΤΙΚΥΡΑΣ,0.76,ΜΥΗΕ,2001-06,2001-25,3,17,299,1304
2001-02-08 00:00:00,ΑΔ-00098,2001-07-16 00:00:00,2026-07-16 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΕΥΒΟΙΑΣ,ΚΑΡΥΣΤΟΥ,11.4,ΑΙΟΛΙΚΑ ,2001-07,2001-29,5,22,299,1304
2001-02-08 00:00:00,ΑΔ-00099,2001-07-16 00:00:00,2026-07-16 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΕΥΒΟΙΑΣ,ΚΑΡΥΣΤΟΥ,27.4,ΑΙΟΛΙΚΑ ,2001-07,2001-29,5,22,299,1304
2001-02-07 00:00:00,ΑΔ-00066,2001-07-16 00:00:00,2026-07-15 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΕΥΒΟΙΑΣ,ΚΑΡΥΣΤΟΥ,4.2,ΑΙΟΛΙΚΑ ,2001-07,2001-29,5,22,299,1304
2001-02-08 00:00:00,ΑΔ-00097,2001-07-16 00:00:00,2026-07-16 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΕΥΒΟΙΑΣ,ΚΑΡΥΣΤΟΥ,12.6,ΑΙΟΛΙΚΑ ,2001-07,2001-29,5,22,299,1304
2001-02-19 00:00:00,ΑΔ-00089,2001-07-16 00:00:00,2026-07-16 00:00:00,ΘΕΣΣΑΛΙΑΣ,ΚΑΡΔΙΤΣΑΣ,ΑΡΓΙΘΕΑΣ,6.85,ΜΥΗΕ,2001-07,2001-29,4,21,299,1304
2001-02-07 00:00:00,ΑΔ-00065,2001-07-16 00:00:00,2026-07-15 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΕΥΒΟΙΑΣ,ΚΑΡΥΣΤΟΥ,3.6,ΑΙΟΛΙΚΑ ,2001-07,2001-29,5,22,299,1304
2001-02-13 00:00:00,ΑΔ-00096,2001-07-16 00:00:00,2026-07-16 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΕΥΒΟΙΑΣ,ΚΑΡΥΣΤΟΥ,1.2,ΑΙΟΛΙΚΑ ,2001-07,2001-29,5,21,299,1304
2001-02-19 00:00:00,ΑΔ-00094,2001-07-16 00:00:00,2026-07-16 00:00:00,ΗΠΕΙΡΟΥ,ΙΩΑΝΝΙΝΩΝ,ΜΕΤΣΟΒΟΥ,0.8,ΜΥΗΕ,2001-07,2001-29,4,21,299,1304
2001-02-07 00:00:00,ΑΔ-00067,2001-07-16 00:00:00,2041-07-07 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΕΥΒΟΙΑΣ,ΚΑΡΥΣΤΟΥ,1.2,ΑΙΟΛΙΚΑ ,2001-07,2001-29,5,22,479,2085
2001-02-19 00:00:00,ΑΔ-00069,2001-07-16 00:00:00,2026-07-16 00:00:00,ΑΤΤΙΚΗΣ,ΑΤΤΙΚΗΣ,ΚΕΡΑΤΣΙΝΙΟΥ - ΔΡΑΠΕΤΣΩΝΑΣ,11.4,ΒΙΟΜΑΖΑ,2001-07,2001-29,4,21,299,1304
2001-02-08 00:00:00,ΑΔ-00070,2001-07-16 00:00:00,2026-07-16 00:00:00,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΚΥΚΛΑΔΩΝ,ΜΗΛΟΥ,1.2,ΑΙΟΛΙΚΑ ,2001-07,2001-29,5,22,299,1304
2001-02-19 00:00:00,ΑΔ-00071,2001-07-16 00:00:00,2026-07-16 00:00:00,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΚΥΚΛΑΔΩΝ,ΣΥΡΟΥ-ΕΡΜΟΥΠΟΛΗΣ,2.64,ΑΙΟΛΙΚΑ ,2001-07,2001-29,4,21,299,1304
2001-02-14 00:00:00,ΑΔ-00072,2001-07-16 00:00:00,2026-07-16 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΕΥΒΟΙΑΣ,ΚΥΜΗΣ-ΑΛΙΒΕΡΙΟΥ,9.0,ΑΙΟΛΙΚΑ ,2001-07,2001-29,4,21,299,1304
2001-02-19 00:00:00,ΑΔ-00074,2001-07-16 00:00:00,2026-07-16 00:00:00,ΗΠΕΙΡΟΥ,ΑΡΤΑΣ,ΚΕΝΤΡΙΚΩΝ ΤΖΟΥΜΕΡΚΩΝ,3.9,ΜΥΗΕ,2001-07,2001-29,4,21,299,1304
2001-02-14 00:00:00,ΑΔ-00075,2001-07-16 00:00:00,2026-07-16 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΕΥΒΟΙΑΣ,ΚΥΜΗΣ-ΑΛΙΒΕΡΙΟΥ,14.4,ΑΙΟΛΙΚΑ ,2001-07,2001-29,4,21,299,1304
2001-02-14 00:00:00,ΑΔ-00076,2001-07-16 00:00:00,2026-07-16 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΕΥΒΟΙΑΣ,ΚΑΡΥΣΤΟΥ,11.4,ΑΙΟΛΙΚΑ ,2001-07,2001-29,4,21,299,1304
2001-02-19 00:00:00,ΑΔ-00077,2001-07-16 00:00:00,2041-06-09 00:00:00,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΧΙΟΥ,ΧΙΟΥ,0.56,ΑΙΟΛΙΚΑ ,2001-07,2001-29,4,21,478,2081
2001-02-19 00:00:00,ΑΔ-00078,2001-07-16 00:00:00,2041-06-09 00:00:00,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΧΙΟΥ,ΧΙΟΥ,0.28,ΑΙΟΛΙΚΑ ,2001-07,2001-29,4,21,478,2081
