ΗΜΕΡΟΜΗΝΙΑ ΥΠΟΒΟΛΗΣ ΑΙΤΗΣΗΣ,AΡΙΘΜΟΣ ΜΗΤΡΩΟΥ ΑΔΕΙΩΝ,ΗΜΕΡΟΜΗΝΙΑ ΕΚΔ. ΑΔ.ΠΑΡΑΓΩΓΗΣ,ΗΜΕΡΟΜΗΝΙΑ ΛΗΞΗΣ ΑΔ.ΠΑΡΑΓΩΓΗΣ,ΠΕΡΙΦΕΡΕΙΑ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ,ΔΗΜΟΣ,ΜΕΓΙΣΤΗ ΙΣΧΥΣ (MW),ΤΕΧΝΟΛΟΓΙΑ,ΜΗΝΑΣ ΕΚΔ. ΑΔ.ΠΑΡΑΓΩΓΗΣ,ΕΒΔΟΜΑΔΑ ΕΚΔ. ΑΔ.ΠΑΡΑΓΩΓΗΣ,ΔΙΑΣΤΗΜΑ ΕΓΚΡΙΣΗΣ ΣΕ ΜΗΝΕΣ,ΔΙΑΣΤΗΜΑ ΕΓΚΡΙΣΗΣ ΣΕ ΕΒΔΟΜΑΔΕΣ,ΔΙΑΡΚΕΙΑ ΑΔΕΙΑΣ ΣΕ ΜΗΝΕΣ,ΔΙΑΡΚΕΙΑ ΑΔΕΙΑΣ ΣΕ ΕΒΔΟΜΑΔΕΣ
2001-02-19 00:00:00,ΑΔ-00033,2001-06-18 00:00:00,2041-06-09 00:00:00,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΧΙΟΥ,ΧΙΟΥ,0.28,ΑΙΟΛΙΚΑ ,2001-06,2001-25,3,17,479,2085
2001-02-19 00:00:00,ΑΔ-00034,2001-06-18 00:00:00,2041-06-09 00:00:00,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΧΙΟΥ,ΧΙΟΥ,0.6,ΑΙΟΛΙΚΑ ,2001-06,2001-25,3,17,479,2085
2001-02-19 00:00:00,ΑΔ-00035,2001-06-18 00:00:00,2026-06-18 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΕΥΒΟΙΑΣ,ΚΑΡΥΣΤΟΥ,3.6,ΑΙΟΛΙΚΑ ,2001-06,2001-25,3,17,299,1304
2001-02-19 00:00:00,ΑΔ-00036,2001-06-18 00:00:00,2041-06-09 00:00:00,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΧΙΟΥ,ΧΙΟΥ,0.6,ΑΙΟΛΙΚΑ ,2001-06,2001-25,3,17,479,2085
2001-02-19 00:00:00,ΑΔ-00037,2001-06-18 00:00:00,2041-06-09 00:00:00,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΧΙΟΥ,ΧΙΟΥ,0.28,ΑΙΟΛΙΚΑ ,2001-06,2001-25,3,17,479,2085
2001-02-08 00:00:00,ΑΔ-00038,2001-06-18 00:00:00,2026-06-18 00:00:00,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΣΗΤΕΙΑΣ,10.0,ΑΙΟΛΙΚΑ ,2001-06,2001-25,4,18,299,1304
2001-02-08 00:00:00,ΑΔ-00039,2001-06-18 00:00:00,2026-06-18 00:00:00,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΣΗΤΕΙΑΣ,10.0,ΑΙΟΛΙΚΑ ,2001-06,2001-25,4,18,299,1304
2001-02-19 00:00:00,ΑΔ-00040,2001-06-18 00:00:00,2041-06-09 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΒΟΙΩΤΙΑΣ,ΛΕΒΑΔΕΩΝ,2.42,ΑΙΟΛΙΚΑ ,2001-06,2001-25,3,17,479,2085
2001-02-19 00:00:00,ΑΔ-00041,2001-06-18 00:00:00,2040-05-28 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΕΥΒΟΙΑΣ,ΚΑΡΥΣΤΟΥ,7.4,ΑΙΟΛΙΚΑ ,2001-06,2001-25,3,17,467,2032
2001-02-08 00:00:00,ΑΔ-00042,2001-06-18 00:00:00,2041-06-15 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΕΥΒΟΙΑΣ,ΚΑΡΥΣΤΟΥ,0.78,ΑΙΟΛΙΚΑ ,2001-06,2001-25,4,18,479,2086
2001-02-19 00:00:00,ΑΔ-00043,2001-06-18 00:00:00,2041-04-26 00:00:00,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΣΑΜΟΥ,ΣΑΜΟΥ,0.75,ΑΙΟΛΙΚΑ ,2001-06,2001-25,3,17,478,2079
2001-02-19 00:00:00,ΑΔ-00044,2001-06-18 00:00:00,2026-06-18 00:00:00,ΠΕΛΟΠΟΝΝΗΣΟΥ,ΑΡΚΑΔΙΑΣ,ΤΡΙΠΟΛΗΣ,43.7,ΑΙΟΛΙΚΑ ,2001-06,2001-25,3,17,299,1304
2001-02-19 00:00:00,ΑΔ-00045,2001-06-18 00:00:00,2026-06-18 00:00:00,ΠΕΛΟΠΟΝΝΗΣΟΥ,ΑΡΚΑΔΙΑΣ,ΤΡΙΠΟΛΗΣ,16.2,ΑΙΟΛΙΚΑ ,2001-06,2001-25,3,17,299,1304
2001-02-08 00:00:00,ΑΔ-00046,2001-06-18 00:00:00,2026-06-18 00:00:00,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΚΥΚΛΑΔΩΝ,ΤΗΝΟΥ,0.4,ΑΙΟΛΙΚΑ ,2001-06,2001-25,4,18,299,1304
2001-02-19 00:00:00,ΑΔ-00047,2001-06-18 00:00:00,2041-04-26 00:00:00,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΣΑΜΟΥ,ΣΑΜΟΥ,1.2,ΑΙΟΛΙΚΑ ,2001-06,2001-25,3,17,478,2079
2001-02-07 00:00:00,ΑΔ-00048,2001-06-18 00:00:00,2026-06-17 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΕΥΒΟΙΑΣ,ΚΑΡΥΣΤΟΥ,1.8,ΑΙΟΛΙΚΑ ,2001-06,2001-25,4,18,299,1304
2001-02-07 00:00:00,ΑΔ-00049,2001-06-18 00:00:00,2041-06-03 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΕΥΒΟΙΑΣ,ΚΑΡΥΣΤΟΥ,1.8,ΑΙΟΛΙΚΑ ,2001-06,2001-25,4,18,479,2085
2001-02-08 00:00:00,ΑΔ-00050,2001-06-18 00:00:00,2026-06-18 00:00:00,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΠΕΛΛΑΣ,ΑΛΜΩΠΙΑΣ,0.56,ΜΥΗΕ,2001-06,2001-25,4,18,299,1304
2001-02-08 00:00:00,ΑΔ-00051,2001-06-18 00:00:00,2026-06-18 00:00:00,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΠΕΛΛΑΣ,ΑΛΜΩΠΙΑΣ,0.35,ΜΥΗΕ,2001-06,2001-25,4,18,299,1304
2001-02-02 00:00:00,ΑΔ-00052,2001-06-18 00:00:00,2026-06-18 00:00:00,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΣΕΡΡΩΝ,ΣΙΝΤΙΚΗΣ,5.0,ΜΥΗΕ,2001-06,2001-25,4,19,299,1304
2001-02-07 00:00:00,ΑΔ-00053,2001-06-18 00:00:00,2041-06-15 00:00:00,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΣΗΤΕΙΑΣ,9.9,ΑΙΟΛΙΚΑ ,2001-06,2001-25,4,18,479,2086
2001-02-08 00:00:00,ΑΔ-00054,2001-06-18 00:00:00,2026-06-18 00:00:00,ΔΥΤΙΚΗΣ ΕΛΛΑΔΟΣ,ΑΧΑΙΑΣ,ΑΙΓΙΑΛΕΙΑΣ,2.724,ΜΥΗΕ,2001-06,2001-25,4,18,299,1304
2001-02-19 00:00:00,ΑΔ-00058,2001-06-19 00:00:00,2026-06-19 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΒΟΙΩΤΙΑΣ,ΘΗΒΑΙΩΝ,0.65,ΜΥΗΕ,2001-06,2001-25,3,17,299,1304
2001-02-08 00:00:00,ΑΔ-00059,2001-06-18 00:00:00,2026-06-18 00:00:00,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΣΕΡΡΩΝ,ΣΙΝΤΙΚΗΣ,0.5,ΜΥΗΕ,2001-06,2001-25,4,18,299,1304
2001-02-19 00:00:00,ΑΔ-00060,2001-06-19 00:00:00,2026-06-19 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΒΟΙΩΤΙΑΣ,ΔΙΣΤΟΜΟΥ - ΑΡΑΧΟΒΑΣ - ΑΝΤΙΚΥΡΑΣ,0.76,ΜΥΗΕ,2001-06,2001-25,3,17,299,1304
2001-02-08 00:00:00,ΑΔ-00062,2001-06-18 00:00:00,2026-06-18 00:00:00,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΣΕΡΡΩΝ,ΣΕΡΡΩΝ,1.5,ΜΥΗΕ,2001-06,2001-25,4,18,299,1304
2001-02-08 00:00:00,ΑΔ-00063,2001-07-16 00:00:00,2026-07-16 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΕΥΒΟΙΑΣ,ΚΑΡΥΣΤΟΥ,7.8,ΑΙΟΛΙΚΑ ,2001-07,2001-29,5,22,299,1304
2001-02-07 00:00:00,ΑΔ-00065,2001-07-16 00:00:00,2026-07-15 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΕΥΒΟΙΑΣ,ΚΑΡΥΣΤΟΥ,3.6,ΑΙΟΛΙΚΑ ,2001-07,2001-29,5,22,299,1304
2001-02-07 00:00:00,ΑΔ-00066,2001-07-16 00:00:00,2026-07-15 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΕΥΒΟΙΑΣ,ΚΑΡΥΣΤΟΥ,4.2,ΑΙΟΛΙΚΑ ,2001-07,2001-29,5,22,299,1304
2001-02-07 00:00:00,ΑΔ-00067,2001-07-16 00:00:00,2041-07-07 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΕΥΒΟΙΑΣ,ΚΑΡΥΣΤΟΥ,1.2,ΑΙΟΛΙΚΑ ,2001-07,2001-29,5,22,479,2085
2001-02-19 00:00:00,ΑΔ-00069,2001-07-16 00:00:00,2026-07-16 00:00:00,ΑΤΤΙΚΗΣ,ΑΤΤΙΚΗΣ,ΚΕΡΑΤΣΙΝΙΟΥ - ΔΡΑΠΕΤΣΩΝΑΣ,11.4,ΒΙΟΜΑΖΑ,2001-07,2001-29,4,21,299,1304
2001-02-08 00:00:00,ΑΔ-00070,2001-07-16 00:00:00,2026-07-16 00:00:00,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΚΥΚΛΑΔΩΝ,ΜΗΛΟΥ,1.2,ΑΙΟΛΙΚΑ ,2001-07,2001-29,5,22,299,1304
2001-02-19 00:00:00,ΑΔ-00071,2001-07-16 00:00:00,2026-07-16 00:00:00,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΚΥΚΛΑΔΩΝ,ΣΥΡΟΥ-ΕΡΜΟΥΠΟΛΗΣ,2.64,ΑΙΟΛΙΚΑ ,2001-07,2001-29,4,21,299,1304
2001-02-14 00:00:00,ΑΔ-00072,2001-07-16 00:00:00,2026-07-16 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΕΥΒΟΙΑΣ,ΚΥΜΗΣ-ΑΛΙΒΕΡΙΟΥ,9.0,ΑΙΟΛΙΚΑ ,2001-07,2001-29,4,21,299,1304
2001-02-14 00:00:00,ΑΔ-00075,2001-07-16 00:00:00,2026-07-16 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΕΥΒΟΙΑΣ,ΚΥΜΗΣ-ΑΛΙΒΕΡΙΟΥ,14.4,ΑΙΟΛΙΚΑ ,2001-07,2001-29,4,21,299,1304
2001-02-14 00:00:00,ΑΔ-00076,2001-07-16 00:00:00,2026-07-16 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΕΥΒΟΙΑΣ,ΚΑΡΥΣΤΟΥ,11.4,ΑΙΟΛΙΚΑ ,2001-07,2001-29,4,21,299,1304
2001-02-19 00:00:00,ΑΔ-00077,2001-07-16 00:00:00,2041-06-09 00:00:00,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΧΙΟΥ,ΧΙΟΥ,0.56,ΑΙΟΛΙΚΑ ,2001-07,2001-29,4,21,478,2081
2001-02-19 00:00:00,ΑΔ-00078,2001-07-16 00:00:00,2041-06-09 00:00:00,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΧΙΟΥ,ΧΙΟΥ,0.28,ΑΙΟΛΙΚΑ ,2001-07,2001-29,4,21,478,2081
2001-02-08 00:00:00,ΑΔ-00080,2001-07-16 00:00:00,2026-07-16 00:00:00,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΣΗΤΕΙΑΣ,10.2,ΑΙΟΛΙΚΑ ,2001-07,2001-29,5,22,299,1304
2001-02-08 00:00:00,ΑΔ-00081,2001-07-16 00:00:00,2026-07-16 00:00:00,ΑΤΤΙΚΗΣ,ΑΤΤΙΚΗΣ,ΦΥΛΗΣ,14.916,ΒΙΟΜΑΖΑ,2001-07,2001-29,5,22,299,1304
2001-01-02 00:00:00,ΑΔ-00082,2001-07-16 00:00:00,2041-03-23 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΕΥΒΟΙΑΣ,ΚΑΡΥΣΤΟΥ,0.4,ΑΙΟΛΙΚΑ ,2001-07,2001-29,6,27,476,2070
2001-02-08 00:00:00,ΑΔ-00083,2001-07-16 00:00:00,2026-07-16 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΕΥΒΟΙΑΣ,ΚΑΡΥΣΤΟΥ,1.5,ΑΙΟΛΙΚΑ ,2001-07,2001-29,5,22,299,1304
2001-02-07 00:00:00,ΑΔ-00084,2001-07-16 00:00:00,2041-07-15 00:00:00,ΚΡΗΤΗΣ,ΗΡΑΚΛΕΙΟΥ,ΓΟΡΤΥΝΑΣ,4.95,ΑΙΟΛΙΚΑ ,2001-07,2001-29,5,22,479,2087
2001-02-08 00:00:00,ΑΔ-00085,2001-07-16 00:00:00,2051-07-16 00:00:00,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΣΗΤΕΙΑΣ,0.5,ΑΙΟΛΙΚΑ ,2001-07,2001-29,5,22,599,2608
2001-02-19 00:00:00,ΑΔ-00086,2001-07-16 00:00:00,2041-07-15 00:00:00,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΔΩΔΕΚΑΝΗΣΟΥ,ΚΑΡΠΑΘΟΥ,0.45,ΑΙΟΛΙΚΑ ,2001-07,2001-29,4,21,479,2087
2001-02-19 00:00:00,ΑΔ-00087,2001-07-16 00:00:00,2019-12-31 00:00:00,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΔΩΔΕΚΑΝΗΣΟΥ,ΡΟΔΟΥ,11.7,ΑΙΟΛΙΚΑ ,2001-07,2001-29,4,21,221,963
2001-02-15 00:00:00,ΑΔ-00088,2001-07-16 00:00:00,2026-07-16 00:00:00,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΠΕΛΛΑΣ,ΑΛΜΩΠΙΑΣ,2.46,ΜΥΗΕ,2001-07,2001-29,4,21,299,1304
2001-02-19 00:00:00,ΑΔ-00090,2001-07-16 00:00:00,2026-07-16 00:00:00,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΘΕΣ/ΝΙΚΗΣ,ΧΑΛΚΗΔΟΝΟΣ,6.6,ΜΥΗΕ,2001-07,2001-29,4,21,299,1304
2001-02-19 00:00:00,ΑΔ-00093,2001-07-16 00:00:00,2026-07-16 00:00:00,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΗΜΑΘΙΑΣ,ΒΕΡΟΙΑΣ,0.57,ΜΥΗΕ,2001-07,2001-29,4,21,299,1304
2001-02-13 00:00:00,ΑΔ-00096,2001-07-16 00:00:00,2026-07-16 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΕΥΒΟΙΑΣ,ΚΑΡΥΣΤΟΥ,1.2,ΑΙΟΛΙΚΑ ,2001-07,2001-29,5,21,299,1304
2001-02-08 00:00:00,ΑΔ-00097,2001-07-16 00:00:00,2026-07-16 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΕΥΒΟΙΑΣ,ΚΑΡΥΣΤΟΥ,12.6,ΑΙΟΛΙΚΑ ,2001-07,2001-29,5,22,299,1304
2001-02-08 00:00:00,ΑΔ-00098,2001-07-16 00:00:00,2026-07-16 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΕΥΒΟΙΑΣ,ΚΑΡΥΣΤΟΥ,11.4,ΑΙΟΛΙΚΑ ,2001-07,2001-29,5,22,299,1304
2001-02-08 00:00:00,ΑΔ-00099,2001-07-16 00:00:00,2026-07-16 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΕΥΒΟΙΑΣ,ΚΑΡΥΣΤΟΥ,27.4,ΑΙΟΛΙΚΑ ,2001-07,2001-29,5,22,299,1304
2001-02-07 00:00:00,ΑΔ-00102,2001-09-11 00:00:00,2038-10-16 00:00:00,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΔΩΔΕΚΑΝΗΣΟΥ,ΚΑΡΠΑΘΟΥ,0.5,ΑΙΟΛΙΚΑ ,2001-09,2001-37,7,30,445,1935
2001-02-19 00:00:00,ΑΔ-00103,2001-09-11 00:00:00,2040-05-28 00:00:00,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΑΡΡΙΑΝΩΝ,19.5,ΑΙΟΛΙΚΑ ,2001-09,2001-37,6,29,464,2019
2001-02-19 00:00:00,ΑΔ-00104,2001-09-11 00:00:00,2026-09-11 00:00:00,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΠΕΛΛΑΣ,ΕΔΕΣΣΑΣ,0.06,ΜΥΗΕ,2001-09,2001-37,6,29,299,1304
2001-02-19 00:00:00,ΑΔ-00105,2001-09-11 00:00:00,2026-09-11 00:00:00,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΠΕΛΛΑΣ,ΕΔΕΣΣΑΣ,0.15,ΜΥΗΕ,2001-09,2001-37,6,29,299,1304
2001-02-19 00:00:00,ΑΔ-00106,2001-09-11 00:00:00,2026-09-11 00:00:00,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΠΕΛΛΑΣ,ΕΔΕΣΣΑΣ,0.5,ΜΥΗΕ,2001-09,2001-37,6,29,299,1304
2001-02-08 00:00:00,ΑΔ-00108,2001-09-11 00:00:00,2040-11-23 00:00:00,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΧΙΟΥ,ΧΙΟΥ,0.3,ΑΙΟΛΙΚΑ ,2001-09,2001-37,7,30,470,2045
2001-02-08 00:00:00,ΑΔ-00109,2001-09-11 00:00:00,2026-09-11 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΕΥΒΟΙΑΣ,ΚΥΜΗΣ-ΑΛΙΒΕΡΙΟΥ,12.0,ΑΙΟΛΙΚΑ ,2001-09,2001-37,7,30,299,1304
2001-02-19 00:00:00,ΑΔ-00110,2001-09-11 00:00:00,2040-05-28 00:00:00,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΕΒΡΟΥ,ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ,11.25,ΑΙΟΛΙΚΑ ,2001-09,2001-37,6,29,464,2019
2001-02-15 00:00:00,ΑΔ-00111,2001-09-11 00:00:00,2026-09-11 00:00:00,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΑΡΡΙΑΝΩΝ,41.2,ΑΙΟΛΙΚΑ ,2001-09,2001-37,6,29,299,1304
2001-02-14 00:00:00,ΑΔ-00113,2001-09-11 00:00:00,2026-09-11 00:00:00,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΔΩΔΕΚΑΝΗΣΟΥ,ΛΕΡΟΥ,4.2,ΑΙΟΛΙΚΑ ,2001-09,2001-37,6,29,299,1304
2001-02-19 00:00:00,ΑΔ-00114,2001-09-11 00:00:00,2040-05-28 00:00:00,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΑΡΡΙΑΝΩΝ,14.25,ΑΙΟΛΙΚΑ ,2001-09,2001-37,6,29,464,2019
2001-02-19 00:00:00,ΑΔ-00115,2001-09-11 00:00:00,2026-09-11 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΒΟΙΩΤΙΑΣ,ΤΑΝΑΓΡΑΣ,1.2,ΜΥΗΕ,2001-09,2001-37,6,29,299,1304
2001-02-19 00:00:00,ΑΔ-00116,2001-09-11 00:00:00,2026-09-11 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΒΟΙΩΤΙΑΣ,ΤΑΝΑΓΡΑΣ,0.59,ΜΥΗΕ,2001-09,2001-37,6,29,299,1304
2001-02-05 00:00:00,ΑΔ-00120,2001-09-11 00:00:00,2026-09-11 00:00:00,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΗΜΑΘΙΑΣ,ΝΑΟΥΣΑΣ,0.625,ΜΥΗΕ,2001-09,2001-37,7,31,299,1304
2001-02-19 00:00:00,ΑΔ-00121,2001-09-11 00:00:00,2051-09-11 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΦΘΙΩΤΙΔΑΣ,ΜΑΚΡΑΚΩΜΗΣ,4.5,ΜΥΗΕ,2001-09,2001-37,6,29,599,2608
